Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-08,3.5677823370778543,3.5772964142367223,3.5297260284423824,3.529726028442383,39661,0.0,0
2019-03-11,3.548754484521396,3.5677826404571533,3.472641860778367,3.5677826404571533,22122,0.0,0
2019-03-12,3.5202120941922113,3.5202120941922113,3.472641706466675,3.472641706466675,36345,0.0,0
2019-03-13,3.5392403132137624,3.5582684686476935,3.510698080062866,3.510698080062866,44506,0.0,0
2019-03-14,3.52021225061776,3.5677826404571533,3.5106981726498816,3.5677826404571533,11150,0.0,0
2019-03-15,3.5582683086395264,3.5677823859286626,3.5297260767721164,3.5582683086395264,38151,0.0,0
2019-03-18,3.5392404065535175,3.5677826404571533,3.52021225061776,3.5677826404571533,14755,0.0,0
2019-03-19,3.5772966716337447,3.5772966716337447,3.5392403602600098,3.5392403602600098,7103,0.0,0
2019-03-20,3.5963248273206125,3.624867060850914,3.472641815355973,3.5392403602600098,553640,0.0,0
2019-03-21,3.5868106676993263,3.643895133458426,3.5868106676993263,3.634381055831909,13533,0.0,0
2019-03-22,3.67243770920031,3.739036485637156,3.615353238111749,3.6914660930633545,11736,0.0,0
2019-03-25,3.710494133459639,3.9102900028228755,3.672437593763318,3.910290002822876,54447,0.0,0
2019-03-26,3.7295223651259604,3.7866068355717197,3.6724376678466792,3.6724376678466797,23343,0.0,0
2019-03-27,3.7104937895191394,3.853205176359682,3.7104937895191394,3.843690872192383,6887,0.0,0
2019-03-28,3.7713279306705667,3.8287592648728186,3.7330403745357326,3.7521841526031494,17537,0.0244,0
2019-03-29,3.8957625543486403,3.8957625543486403,3.819187217050866,3.8383312225341797,13438,0.0,0
2019-04-01,3.857474999805666,3.8957625543486403,3.8383312225341792,3.8383312225341797,16396,0.0,0
2019-04-02,3.8096154297785754,3.8096154297785754,3.7426122075455988,3.7808997631073,16755,0.0,0
2019-04-03,3.790471449172583,3.790471449172583,3.551174011504736,3.5894615650177,65535,0.0,0
2019-04-04,3.6947525488756394,3.733040332794189,3.6851806599489603,3.7330403327941895,12930,0.0,0
2019-04-05,3.6947523371783517,3.7426120072813776,3.5894615650177,3.5894615650177,6251,0.0,0
2019-04-08,3.579889654144874,3.7234682071281204,3.5511739891905885,3.685180425643921,12422,0.0,0
2019-04-09,3.713896318810025,3.7234682071281204,3.6660366490077303,3.685180425643921,27027,0.0,0
2019-04-10,3.675608704151768,3.675608704151768,3.5990335941314697,3.5990335941314697,7368,0.0,0
2019-04-11,3.675608873367309,3.675608873367309,3.675608873367309,3.6756088733673096,1330,0.0,0
2019-04-12,3.666036788709139,3.69475245475769,3.627749233977737,3.6947524547576904,11047,0.0,0
2019-04-15,3.6660367036004056,3.6947523689823094,3.6373210382185017,3.6564648151397705,22088,0.0,0
2019-04-16,3.6564646741174673,3.666036562208934,3.6468927860260005,3.646892786026001,54737,0.0,0
2019-04-17,3.6373211777699153,3.66603684425354,3.608605511286291,3.66603684425354,31436,0.0,0
2019-04-18,3.6181772301524235,3.6373210069089055,3.5894615650177,3.5894615650177,13608,0.0,0
2019-04-23,3.646892929800625,3.914906263351441,3.6181772643941423,3.9149062633514404,32043,0.0,0
2019-04-24,3.685180425643921,3.7330400954462153,3.6660366490077303,3.685180425643921,5368,0.0,0
2019-04-26,3.75218415260315,3.761756041636858,3.723468485502024,3.7521841526031494,12986,0.0,0
2019-04-29,3.704324298335992,3.7426120808130223,3.694752409769691,3.72346830368042,6198,0.0,0
2019-04-30,3.685180425643921,3.6947523139620158,3.6660366490077303,3.685180425643921,25405,0.0,0
2019-05-01,3.6564647606896354,3.685180425643921,3.637320984053445,3.685180425643921,3902,0.0,0
2019-05-02,3.6373210069089055,3.733040118903136,3.560745899882977,3.5894615650177,27352,0.0,0
2019-05-03,3.6851805916586953,3.80961537361145,3.6660368141600914,3.80961537361145,5618,0.0,0
2019-05-06,3.7138964151141183,3.7234683036804195,3.7138964151141183,3.72346830368042,4106,0.0,0
2019-05-07,3.7904715961128463,3.80961537361145,3.6660368141600914,3.80961537361145,36117,0.0,0
2019-05-08,3.723468279271115,3.8383311695255693,3.723468279271115,3.8191871643066406,16148,0.0,0
2019-05-09,3.828759040726379,3.8670465946197514,3.828759040726379,3.867046594619751,15101,0.0,0
2019-05-10,3.867046419707041,3.867046419707041,3.7138962110607814,3.790471315383911,8214,0.0,0
2019-05-13,3.847903047769107,3.847903047769107,3.70432448387146,3.70432448387146,9158,0.0,0
2019-05-14,3.790471651997725,3.8670467631211274,3.7808997631073,3.7808997631073,46134,0.0,0
2019-05-15,3.8574750423431396,3.9244780353203783,3.8574750423431396,3.8574750423431396,21539,0.0,0
2019-05-16,3.8766190330646593,3.90533447265625,3.8766190330646593,3.90533447265625,4088,0.0,0
2019-05-17,3.9053343186828284,3.9436218742445295,3.7808997631073,3.7808997631073,20485,0.0,0
2019-05-20,3.9244775619679104,4.020196437835693,3.905333786794354,4.020196437835693,25687,0.0,0
2019-05-21,3.9627656516345535,3.9627656516345535,3.9244780960766286,3.943621873855591,25695,0.0,0
2019-05-22,3.9723375275520696,4.010625080785333,3.962765411031935,3.991481304168701,14771,0.0,0
2019-05-23,3.962765523060032,3.962765523060032,3.8861904144287114,3.886190414428711,12826,0.0,0
